title,video_url,views,video_age
Awful Patreon Rewards (YIAY #429),https://youtube.com//watch?v=dZILrcSDQTc,1.5M views,2 years ago
Sharks ate us lol (JackAsk #86),https://youtube.com//watch?v=HMw5hO6leXk,1.2M views,2 years ago
FIX YOUR TWITTER BIOS 7,https://youtube.com//watch?v=ihfIoN3xiLo,2.6M views,2 years ago
What's your podcast about? (YIAY #428),https://youtube.com//watch?v=QezxYUfW_Sk,1.8M views,2 years ago
Better Magic the Gathering Cards (YIAY #427),https://youtube.com//watch?v=zFFkZGsAGFA,1.4M views,2 years ago
"What does ""Be a Klondike"" mean? (YIAY #426)",https://youtube.com//watch?v=qgY2jcN4yY0,1.1M views,2 years ago
Announcing JackCon (YIAY #425),https://youtube.com//watch?v=XjE6qjOhJro,1.7M views,2 years ago
Your 1st crush. (YIAY #424),https://youtube.com//watch?v=Jma8iM-cO-g,3.5M views,2 years ago
What IHOB really means (YIAY #423),https://youtube.com//watch?v=GbV6HOeyojU,1.3M views,2 years ago
ALEXANDER HAMILTON 3 (YIAY #422),https://youtube.com//watch?v=V-Oyyk7I5CI,2M views,2 years ago
Please don't photoshop our honeymoon. (YIAY #421),https://youtube.com//watch?v=ZbLVRKE2aco,3.1M views,2 years ago
*teleports behind you* (YIAY #420),https://youtube.com//watch?v=nxjmC-P-zh8,3.1M views,2 years ago
How to not suck at gaming (YIAY #419),https://youtube.com//watch?v=IIP46cRwM-E,1.4M views,2 years ago
Guess the movie in 4 words! (YIAY #418),https://youtube.com//watch?v=fYUXvrF85uQ,2.5M views,2 years ago
Can you name 3 characters from Avatar? (YIAY #417),https://youtube.com//watch?v=Zxj4WT40yLM,1.4M views,2 years ago
Adding a layer of clothing every time I die in Fortnite,https://youtube.com//watch?v=_gI9Tc3pyCo,1.5M views,2 years ago
Avengers 4 Title (YIAY #416),https://youtube.com//watch?v=TQ1O0YdH54M,1.4M views,2 years ago
Fix your avatars. (YIAY #415),https://youtube.com//watch?v=Ehox9NY79JE,3.1M views,2 years ago
