Title,Year,Duration,Rating,Total Voted,Year Released,Language,Budget,Gross,Color,Top Actors,Genre
Civil War,2024,1h 49m,7.4,298,"April 12, 2024",['English'],"$50,000,000",,['Color'],"Nick Offerman, Kirsten Dunst, Wagner Moura, Jefferson White, Nelson Lee",Action
Nyad,2023,2h 1m,7.1,34K,"November 3, 2023","['Spanish', 'English']","$16,056",,['Color'],"Annette Bening, Jodie Foster, Anne Marie Kempf, Carolyn McCormick, Marcos Díaz","Biography, Drama, Sport"
The Thundermans Return,2024,1h 10m,5.1,932,"March 7, 2024",['English'],,,['Color'],"Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez, Maya Le Clark","Action, Comedy, Crime"
Inside Out 2,2024,,,,"June 14, 2024","['Russian', 'English']",,,['Color'],"Amy Poehler, Phyllis Smith, Lewis Black, Tony Hale, Liza Lapira","Animation, Adventure, Comedy"
The American Society of Magical Negroes,2024,1h 44m,2.4,4.3K,"March 15, 2024",['English'],"$1,884,755","$1,304,270",['Color'],"Justice Smith, Zachary Barton, Anthony Coons, Robbie Troy, Gillian Vigman","Comedy, Fantasy"
Merry Christmas,2024,2h 24m,7.1,23K,"January 12, 2024","['Hindi', 'Tamil']","$101,511",,['Color'],"Katrina Kaif, Vijay Sethupathi, Tinnu Anand, Pari Sharma, Vinay Pathak","Drama, Mystery, Thriller"
Society of the Snow,2023,2h 24m,7.8,122K,"January 4, 2024",['Spanish'],"$1,281",,['Color'],"Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Bigliardi, Diego Vegezzi","Adventure, Biography, Drama"
The Greatest Hits,2024,1h 34m,7.5,65,"April 12, 2024",['English'],,,['Color'],"Lucy Boynton, David Corenswet, Justin H. Min, Retta, Andie Ju","Comedy, Drama, Fantasy"
Code 8,2019,1h 38m,6.1,51K,"November 8, 2021",['English'],"$157,209",,['Color'],"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne, Jai Jai Jones","Action, Crime, Drama"
The Creator,2023,2h 13m,6.8,153K,"September 29, 2023","['English', 'Thai']","$80,000,000","$40,774,679",['Color'],"John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney, Ken Watanabe","Action, Adventure, Drama"
Once Upon a Time... In Hollywood,2019,2h 41m,7.6,841K,"August 15, 2019","['Spanish', 'German', 'Italian', 'English']","$90,000,000","$142,502,728","['Color', 'Black and White']","Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley","Comedy, Drama"
Winnie the Pooh: Blood and Honey 2,2024,1h 40m,,,"March 26, 2024",['English'],"$1,000,000",,['Color'],"Scott Chambers, Tallulah Evans, Ryan Oliva, Lewis Santer, Eddy MacKenzie","Horror, Thriller"
The Crow,1994,1h 42m,7.5,200K,"May 13, 1994",['English'],"$23,000,000","$50,693,129",['Color'],"Brandon Lee, Michael Wincott, Rochelle Davis, Ernie Hudson, Bai Ling","Action, Crime, Drama"
The Shawshank Redemption,1994,2h 22m,9.3,2.9M,"October 14, 1994",['English'],"$25,000,000","$28,767,189",,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",Drama
Everything Everywhere All at Once,2022,2h 19m,7.8,526K,"September 16, 2022","['English', 'Mandarin']","$14,300,000","$77,191,785",['Color'],"Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan, James Hong","Action, Adventure, Comedy"
The Favourite,2018,1h 59m,7.5,230K,"March 1, 2019",['English'],"$15,000,000","$34,366,783",['Color'],"Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult, Emma Delves","Biography, Comedy, Drama"
Arthur the King,2024,1h 47m,7.1,1.6K,"March 15, 2024",['English'],"$11,370,255","$7,633,898",['Color'],"Mark Wahlberg, Simu Liu, Juliet Rylance, Nathalie Emmanuel, Ali Suliman",Adventure
Alone,2020,1h 38m,6.2,28K,"April 11, 2021",['English'],"$750,000","$537,589",['Color'],"Jules Willcox, Marc Menchaca, Anthony Heald, Jonathan Rosenthal, Katie O'Grady","Drama, Horror, Mystery"
Animal,2023,3h 24m,6.2,86K,"December 1, 2023",['Hindi'],"$15,004,482","$6,524,534",['Color'],"Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna, Triptii Dimri","Action, Crime, Drama"
The Dark Knight,2008,2h 32m,9.0,2.9M,"July 18, 2008","['English', 'Mandarin']","$185,000,000","$534,987,076",['Color'],"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal","Action, Crime, Drama"
Kung Fu Panda,2008,1h 32m,7.6,517K,"July 11, 2008","['Russian', 'English']","$130,000,000","$215,771,591",['Color'],"Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman, Jackie Chan","Animation, Action, Adventure"
La La Land,2016,2h 8m,8.0,665K,"December 16, 2016",['English'],"$30,000,000","$151,101,803",['Color'],"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons, Amiee Conn","Comedy, Drama, Music"
One Life,2023,1h 49m,7.6,12K,"January 1, 2024","['German', 'French', 'English']","$2,736,392","$1,713,505",['Color'],"Anthony Hopkins, Lena Olin, Johnny Flynn, Helena Bonham Carter, Tim Steed","Biography, Drama, History"
Bob Marley: One Love,2024,1h 47m,6.4,16K,"February 16, 2024",['English'],"$95,236,599","$28,659,004",['Color'],"Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole, Umi Myers","Biography, Drama, Music"
Murder Mubarak,2024,2h 20m,6.9,42K,"March 15, 2024",['Hindi'],,,['Color'],"Pankaj Tripathi, Sara Ali Khan, Vijay Varma, Dimple Kapadia, Karisma Kapoor","Comedy, Horror, Mystery"
12th Fail,2023,2h 27m,9.0,106K,"October 27, 2023","['Hindi', 'Kannada', 'Tamil', 'Telugu', 'Malayalam']","$138,288",,['Color'],"Vikrant Massey, Medha Shankr, Anant Joshi, Anshuman Pushkar, Geeta Agrawal Sharma","Biography, Drama"
The Godfather,1972,2h 55m,9.2,2M,,"['Italian', 'English']","$6,000,000","$136,381,073",['Color'],"Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano","Crime, Drama"
Kinds of Kindness,2024,,,,"June 21, 2024",['English'],,,['Color'],"Emma Stone, Margaret Qualley, Jesse Plemons, Willem Dafoe, Hunter Schafer","Comedy, Drama"
Origin,2023,2h 21m,7.2,3.5K,"January 19, 2024",['English'],"$38,000,000","$4,689,830",['Color'],"Aunjanue Ellis-Taylor, Jon Bernthal, Niecy Nash, Emily Yancy, Finn Wittrock","Drama, History"
Inception,2010,2h 28m,8.8,2.5M,"July 16, 2010","['Japanese', 'French', 'English']","$160,000,000","$292,587,330",['Color'],"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy","Action, Adventure, Sci-Fi"
The Wonderful Story of Henry Sugar,2023,,7.4,66K,"September 27, 2023",['English'],,,['Color'],"Ralph Fiennes, Benedict Cumberbatch, Dev Patel, Ben Kingsley, Richard Ayoade","Short, Adventure, Comedy"
Leave This World Behind,2023,2h 18m,6.5,189K,"December 8, 2023",['English'],,,['Color'],"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la, Farrah Mackenzie","Drama, Mystery, Thriller"
Road House,1989,1h 54m,6.7,90K,"May 19, 1989","['English', 'Portuguese']","$17,000,000","$30,050,028",['Color'],"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara, Marshall R. Teague","Action, Thriller"
The Hunger Games: The Ballad of Songbirds and Snakes,2023,2h 37m,6.8,108K,"November 17, 2023",['English'],"$100,000,000","$166,350,594","['Color', 'Color']","Rachel Zegler, Tom Blyth, Viola Davis, Dexter Sol Ansell, Rosa Gotzler","Action, Adventure, Drama"
Ferrari,2023,2h 10m,6.5,37K,"December 14, 2023",['English'],"$110,000,000","$18,550,028",['Color'],"Adam Driver, Shailene Woodley, Giuseppe Festinese, Alessandro Cremona, Derek Hill","Biography, Drama, History"
Dream Scenario,2023,1h 42m,7.0,47K,"November 22, 2023","['French', 'English']","$5,742,193","$220,035",['Color'],"Lily Bird, Nicolas Cage, Julianne Nicholson, Jessica Clement, Star Slade","Comedy, Horror"
